Afrikaans
Albanian
American
Arabian
Arabic
Armenian
Austrian
Basque
Blank
Bohemian
Breton
Briton
Bulgarian
Chinese
Croatian
Czech
Dalmatian
Dalmation
Danish
Dutch
Egyptian
English
Esthonian
Estonian
Finnish
Flemish
French
Frisian
Friulian
Gaelic
Georgian
German
Germany
Great Russian
Greek
Gypsy
Hebrew
Herzegovinian
Hindu
Hungarian
Icelandic
Ilocano
Irish
Italian
Japanese
Jewish
Korean
Kurdish
L.C.
Lappish
Lettish
Lithuanian
Little Russian
Low Dutch
Macedonian
Magyar
Montenegrin
Moravian
None
Norwegian
Persian
Polish
Portuguese
Rhaeto-Romansh
Romansh
Roumanian
Rumanian
Russian
Ruthenian
Scotch
Scotch Irish
Serbian
Servian
Siamese
Slavic
Slovak
Slovene
Slovenian
Spanish
Swedish
Swiss
Syrian
Turkish
Ukrainian
Ukrainian/Russian
Unknown
Walloon
Welsh
Wendish
White Russian
Yiddish
Yiddish Magyar
Yiddish Polish
